Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
R. Banumathi,Female,Christian,,20-Jul-1955,Tamil Nadu,,3-Apr-2003,19-Jul-2020,No,No,Madras High Court,No,,,,,,,Yes,Jharkhand High Court,,,Yes,13-Aug-2014,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,,,B.Sc.,,,1981,,No,No,
Gyan Sudha Mishra,Female,,,28-Apr-1949,,,16-Mar-1994,27-Apr-2014,No,No,Patna High Court,Yes,Rajasthan High Court,21-Apr-1994,,,,,Yes,Jharkhand High Court,,,Yes,30-Apr-2010,Bar,No,Yes,,Yes,Yes,No,No,No,No,No,No,,Patna University,Political Science,Patna University,,1972,Bihar State Bar Council,No,Yes,No
M. Yusuf Eqbal,Male,Muslim,,13-Feb-1951,,,9-May-1996,12-Feb-2016,No,No,Patna High Court,Yes,Jharkhand High Court,14-Nov-2000,,,,,Yes,Madras High Court,,,Yes,24-Dec-2012,Bar,No,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,No,Ranchi Zila School,Ranchi University,B.Sc.,,1974,1975,,No,No,No
Sudhanshu Jyoti Mukhopadhaya,Male,,,15-Mar-1950,,,8-Nov-1994,14-Mar-2015,No,No,Patna High Court,Yes,Jharkhand High Court,14-Nov-2000,Madras High Court,31-Aug-2006,,,Yes,Gujarat High Court,,,Yes,13-Sep-2011,Bar,No,Yes,Yes,No,No,No,No,No,No,No,No,,Magadh University,B.Sc.,Patna University,1979,1979,,No,No,No
Peruvemba Krishna Iyer Balasubramanyan,Male,,,28-Aug-1942,,,4-Jun-1992,28-Aug-2007,No,No,Kerala High Court,No,,,,,,,Yes,Odisha High Court,Jharkhand High Court,,Yes,27-Aug-2004,Bar,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Village school,"Government College, Chittur (Palghat District)",B.Sc.,Madras Law College,,1964,Madras Bar Council,No,No,No
Pradip Kumar Mohanty,Male,,,10-Jun-1955,Odisha,Cuttack,7-Mar-2002,9-Jun-2017,No,No,Odisha High Court,No,,,,,,,Yes,Jharkhand High Court,,,No,,Bar,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,"Ravenshaw Collegiate School, Cuttack","Ravenshaw College, Cuttack",B.Com. ,"M.S. Law College, Cuttack",1978,1978,,No,No,No
Virender Singh,Male,Sikh,,7-Oct-1954,,,2-Jul-2002,7-Oct-2016,No,No,Punjab and Haryana High Court,Yes,Jammu and Kashmir High Court,19-Apr-2007,,,,,Yes,Jharkhand High Court,,,No,,Bar,No,Yes,No,No,No,No,No,No,No,No,No,,"Government College, Rohtak",B.A.,"J.V.Jain College, Saharanpur",,1978,,No,No,No
Prakash Chandra Tatia,Male,,,4-Aug-1951,,,11-Jan-2001,3-Aug-2013,No,No,Rajasthan High Court,Yes,Jharkhand High Court,11-Apr-2011,,,,,Yes,Jharkhand High Court,,,No,,Bar,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,,,B.Sc.,Jodhpur University,1975,1975,,No,No,No
Bhagwati Prasad,Male,,,13-May-1949,Rajasthan,"Bahadra, Dist. Hanumangarh",6-Apr-1996,12-May-2011,No,No,Rajasthan High Court,Yes,Gujarat High Court,7-Feb-2008,,,,,Yes,Jharkhand High Court,,,No,,Bar,No,Yes,No,Yes,No,No,No,No,No,No,No,,"Government College, Hissar",B.Sc.,"Doongar College, Bikaner",1972,1972,Rajasthan Bar Council,No,No,Yes
M. Karpaga Vinayagam,Male,,,16-May-1946,Tamil Nadu,Devakottai,8-Jan-1996,15-May-2008,No,No,Madras High Court,No,,,,,,,Yes,Jharkhand High Court,,,No,,Bar,No,Yes,No,No,Yes,No,No,No,No,No,No,,"Alagappa College, Karaikudi",B.A. Economics,Madras Law College,1972,1972,Tamil Nadu Bar Council,No,No,No
