Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Gyan Sudha Mishra,Female,Hindu,General,28-Apr-1949,,,16-Mar-1994,29-Apr-2010,No,No,Patna,Yes,Rajasthan,21-Apr-1994,,,,,Yes,Jharkhand,,,Yes,30-Apr-2010,Bar,No,Yes,No,NA,Yes,No,,,Yes,,,,,,Patna University,,1972,Bihar,No,Yes,No
Amratlal Paramananddas Ravani,Male,,,26-Sep-1934,,,26-May-1982,11-Sep-1996,No,Yes,Gujarat,Yes,Rajasthan,25-Feb-1995,,,,,Yes,Rajasthan,,,No,,Bar,No,Yes,No,NA,Yes,No,,,,,,,,,,,1962,Gujarat,,,
Prem Chand Jain,Male,,,,,,22-Jul-1995,11-Sep-1998,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Dinesh Chandra Dalela,Male,,,,,,22-Jul-1995,20-May-1999,,,,,,,,,,,No,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,
P.K. Tewari,Male,,,,,,22-Jul-1995,17-Jul-2000,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
G.L. Gupta,Male,Hindu,General,,,,22-Jul-1995,9-Nov-2000,No,No,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
M.A.A. Khan,Male,Muslim,,,,,22-Jul-1995,6-Jan-2000,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
M.G. Mukherjee,Male,,,,,,,,,,Calcutta,,,,,,,,Yes,Rajasthan,,,No,,,,,,,,,,,,,,,,,,,,,,,
Jogindra Singh Siddhu,Male,,,30-Jan-1937,,,20-Jun-1994,30-Jan-1999,No,No,Punjab and Haryana,Yes,Allahabad,21-Jul-1994,Rajasthan,11-Oct-1996,,,No,,,,No,,Service,Yes,Yes,No,,,No,,,,,,,,,,,1963,,No,No,No
Shiv Kumar Sharma,Male,Hindu,General,,,,6-Apr-1996,10-Oct-2008,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Bhagwati Prasad,Male,,,13-May-1949,Rajasthan,Hanumangarh,6-Apr-1996,12-May-2011,No,No,Rajasthan,Yes,Gujarat,7-Feb-2008,,,,,Yes,Jharkhand,,,No,,Bar,No,Yes,No,NA,No,No,,,Yes,No,,,"Government College, Hissar",B.Sc.,"Doongar College, Bikaner",1972,1972,Rajasthan,No,No,Yes
Ashok Kumar Parihar,Male,,,25-Aug-1947,,,6-Apr-1996,24-Aug-2009,No,No,Rajasthan,No,,,,,,,No,,,,No,,Bar,,Yes,,NA,,,,,Yes,,,,,,,,1974,,,Yes,No
S.C. Mittal,Male,Hindu,General,,,,6-Apr-1996,12-Aug-2000,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Amar Singh Godara,Male,,,,,,6-Apr-1996,1-May-1999,No,No,Rajasthan,No,,,,,,,No,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,
Mohd. Yamin,Male,Muslim,,,,,6-Apr-1996,3-Jul-2001,No,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
A.K. Singh,Male,,,,,,6-Apr-1996,14-Aug-2000,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Nand Kumar Agarwal,Male,Hindu,General,,,,6-Apr-1996,12-Dec-1999,,,Rajasthan,Yes,Punjab and Haryana,29-Apr-1996,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Jagdish Chandra Verma,Male,,,,,,8-Apr-1996,15-Dec-2001,No,No,Punjab and Haryana,Yes,Rajasthan,14-May-1996,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Balbir Singh Chauhan ,Male,,,2-Jul-1949,,,5-Apr-1995,11-May-2009,No,No,Allahabad,Yes,Rajasthan,17-Jul-1997,Allahabad,13-Mar-2003,,,Yes,Odisha,,,Yes,11-May-2009,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,,,Meerut University,B.Sc.,Banaras Hindu University,1974,1974,,Yes,No,Yes
Arvind Mohanlal Kapadia,Male,,,4-Mar-1949,,,11-Dec-1997,4-Mar-2011,No,No,Gujarat,Yes,Rajasthan,4-Sep-2008,Gujarat,16-May-2010,,,No,,,,No,,Service,Yes,Yes,No,,,,,,,,,,,B.A. (Hons.) Economics,,1971,1972,Gujarat,No,No,No
Pradeepkumar Bhadrayulal Majmudar,Male,,,9-Sep-1950,,,17-Sep-1999,9-Sep-2012,No,No,Gujarat,Yes,Rajasthan,10-Apr-2007,Bombay,25-Apr-2008,Gujarat,22-May-2012,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,,,,,,,The Maharaja Sayajirao University of Baroda,B.Com.,The Maharaja Sayajirao University of Baroda,,1974,Gujarat,No,No,No
Abhay Manohar Sapre,Male,,,28-Aug-1954,Madhya Pradesh,Jabalpur,25-Oct-1999,12-Aug-2014,No,No,Madhya Pradesh,Yes,Rajasthan,11-Feb-2010,Chhattisgarh,23-Apr-2012,,,Yes,Manipur,Gauhati,,Yes,13-Aug-2014,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,"Model High School, Jabalpur","Government Arts College, Jabalpur",B.A.,"University Teaching Department (VTD) Jabalpur, University of Jabalpur",,1978,Madhya Pradesh,No,No,No
Arun Kumar Mishra,Male,Hindu,General,3-Sep-1955,,,25-Oct-1999,6-Jul-2014,No,No,Madhya Pradesh,Yes,Rajasthan,12-Sep-2010,,,,,Yes,Rajasthan,Calcutta,,Yes,7-Jul-2014,Bar,No,Yes,No,NA,,No,Yes,No,Yes,,,,,B.Sc.,,,1978,Madhya Pradesh,No,Yes,No
Narayan Prasad Gupta,Male,Hindu,General,21-Jan-1948,,,20-Jan-2000,20-Jan-2010,No,No,Rajasthan,No,,,,,,,No,,,,No,,Bar,No,Yes,,,,,,,,,,,,B.A.,,,1969,Rajasthan,No,No,No
D.N. Joshi,Male,,,,,,20-Jan-2000,11-Oct-2003,,,Rajasthan,No,,,,,,,No,,,,No,,Service,Yes,,,,,,,,Yes,,,,,,,,,,,,
S.K. Garg,Male,Hindu,General,,,,29-Mar-2000,20-Feb-2005,No,Yes,Rajasthan,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Karni Singh Rathore,Male,,,15-Apr-1948,,,30-Oct-2000,14-Apr-2010,No,No,Rajasthan,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,,,,B.A.,,,1977,Rajasthan,No,No,No
Rattan Chand Gandhi,Male,,,22-Jan-1948,,,6-Jan-1995,22-Jan-2010,No,No,Jammu and Kashmir,Yes,Rajasthan,17-Jan-2006,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,,,,,,,,,B.A.,,,1974,Jammu and Kashmir,No,Yes,No
Prakash Chandra Tatia,Male,,,4-Aug-1951,,,11-Jan-2001,3-Aug-2013,No,No,Rajasthan,Yes,Jharkhand,11-Apr-2011,,,,,Yes,Jharkhand,,,No,,Bar,No,Yes,No,NA,Yes,No,,No,Yes,,,,,B.Sc.,Jodhpur University,1975,1975,Rajasthan,No,No,No
Himmat Ram Panwar,Male,,,11-Feb-1948,,,11-Jan-2001,11-Feb-2010,No,No,Rajasthan,No,,,,,,,No,,,,No,,Bar,No,Yes,,,,,,,Yes,,,,,B.A.,,,1982,Rajasthan,No,No,No
Khem Chand Sharma,Male,Hindu,General,,,,11-Jan-2001,7-Aug-2010,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Shashikant Sharma,Male,Hindu,General,,,,11-Jan-2001,16-Jun-2006,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Jagat Singh,Male,,,1-Mar-1941,,,1-Mar-2001,28-Feb-2003,,,,,,,,,,,No,,,,No,,,,,,,,,,,Yes,,,,,,,,,,,,
O.P. Bishnoi,Male,,,,,,29-Aug-2001,10-Jul-2004,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Anoop Chand Goyal,Male,Hindu,General,,,,29-Aug-2001,25-Feb-2005,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Harbans Lal,Male,,,,,,29-Aug-2001,12-Mar-2007,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
K.K. Acharya,Male,,,,,,5-Mar-2002,8-Aug-2008,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
F.C. Bansal,Male,Hindu,General,,,,5-Mar-2002,1-Jan-2006,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Dalip Singh,Male,,,18-Nov-1950,,,2-Sep-2004,18-Nov-2012,No,No,Rajasthan,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,,No,Yes,No,,,,B.A. (Hons.),,,1974,Rajasthan,No,No,No
Narendra Kumar Jain,Male,,,8-Oct-1952,Rajasthan,Tonk,2-Sep-2004,7-Oct-2014,No,No,Rajasthan,Yes,Sikkim,30-Sep-2013,,,,,Yes,Sikkim,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,Yes,,No,Tonk District,Tonk District,B.Com.,University of Delhi,1977,1978,Rajasthan,No,No,No
Rajendra Prasad Vyas,Male,,,,,,2-Sep-2004,27-Oct-2006,Yes,No,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
