Name,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
H R Malhotra,Male,Hindu,General,10-Apr-1947,,,26-Aug-1952,9-Apr-2009,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,,Punjab University,Arts,Delhi University ,1971,,,No,No,No
Manmohan Sarin,Male,Hindu,General,20-Oct-1946,,,6-Dec-1996,,No,No,Delhi High Court ,No,,,,,,,Yes,Jammu and Kashmir High Court ,,,No,,Bar,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,1979,,No,No,No
Tirath Singh Thakur,Male,Hindu,General,4-Jan-1952,,,16-Feb-1994,4-Jan-2017,No,No,Jammu and Kashmir High Court ,Yes,Karnataka High Court ,1-Mar-1994,Delhi High Court ,1-Jul-2004,,,Yes,Punjab and Haryana High Court,,,Yes,17-Nov-2009,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,Yes,,,,,,,,No,No,No
J. M. Malik,Male,Hindu,General,18-Jul-1946,,,28-Feb-2006,17-Jul-2008,No,No,Delhi High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,,Punjab University,,Punjab University,1968,1969,Bar Council of Punjab and Haryana,No,No,No
Mukundakam Sharma,Male,Hindu,General,18-Sep-1946,West Bengal ,Calcutta,10-Jan-1994,18-Sep-2011,No,No,Guwahati High Court ,Yes,Patna High Court ,14-Feb-1994,Delhi High Court ,12-Dec-1994,,,Yes,Delhi High Court ,,,Yes,9-Apr-2008,Bar,No,Yes,Yes,NA,Yes,Yes,Yes,No,Yes,No,No,"Cotton College, Guwahati","Ramjas College, Delhi University",B.A.,Guwahati University,,,Bar Council of Assam and Nagaland,No,Yes,Yes
R. S. Sodhi,Male,Sikh,General,11-Nov-1945,,,7-Jul-1999,7-Nov-2007,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,Yes,No,No,No,No,No,"Bishop Cotton School, Shimla","Lyallpur Khalsa College, Jallandhar",,Punjab University,1972,1972,Bar Council of Delhi,No,No,No
J P Singh,Male,Sikh,General,10-Jul-1945,,,5-Jul-2004,9-Jul-2007,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,Yes,Yes,NA,No,No,No,No,No,No,No,No,,,,,,1969,Bar Council of Delhi,No,Yes,No
Manju Goel,Female,Hindu,General,3-Jan-1945,,,5-Jul-2004,3-Jan-2007,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,,University of Calcutta,1967,,,No,Yes,No
Swatanter Kumar ,Male,Hindu,General,31-Dec-1947,,,10-Nov-1994,30-Dec-2009,No,No,Delhi High Court ,Yes,Punjab and Haryana High Court ,30-Nov-1994,Delhi High Court ,4-Oct-2004,,,Yes,Bombay High Court ,,,No,,Bar,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,,,1971,Bar Council of Delhi,No,No,No
Vijender Jain,Male,Hindu,General,2-Aug-1946,,,24-Dec-1992,,No,No,Delhi High Court ,No,,,,,,,Yes,Punjab & Haryana High Court ,,,No,,Bar,No,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,1969,,No,No,No
Ramesh Chand Jain,Male,Hindu,General,,Uttar Pradesh,Sahranpur,16-Jul-2001,27-Jun-2006,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,Agra University ,,,,No,No,No
Markandeya Katju,Male,Hindu,General,20-Sep-1946,,,,20-Sep-2011,No,No,Allahabad High Court ,No,,,,,,,Yes,Madras High Court ,Delhi High Court,,Yes,10-Apr-2006,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,,,,Allahabad University,1967,,,No,No,No
Om Prakash Dwivedi,Male,Hindu,General,1-Apr-1944,,,12-Jan-2000,1-Apr-2006,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,"Kher Inter College, Gursrai","Jhansi Govt. Inter College, Jhansi",,Allahabad University,,,,No,Yes,No
Surinder Kumar Aggarwal,Male,Hindu,General,4-Apr-1944,,,7-Jul-1999,4-Apr-2006,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,No,,,B. Sc.,,,1965,Bar Council of Delhi,No,No,No
Ramesh Chandra Chopra,Male,Hindu,General,18-Dec-1943,,,1-Dec-2000,18-Dec-2005,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,B.A.,Delhi University,1966,,,No,No,No
Bashir Ahmed Khan,Male,Muslim,General,1-Apr-1945,,,12-Nov-1990,,No,No,Jammu and Kashmir High Court ,Yes,Madhya Pradesh High Court ,8-Oct-1997,Delhi High Court ,14-Jan-2000,Jammu and Kashmir High Court ,11-Oct-2005,No,,,,No,,Bar,,,,,,,,,,,,,,,,,,,,,
B. C. Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. K. Mahajan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devinder Kumar Jain,Male,Hindu,,25-Jan-1948,,,19-Mar-1991,24-Jan-2013,No,No,Delhi,No,NA,,NA,,NA,,Yes,Punjab and Haryana,NA,NA,Yes,10-Apr-2006,Bar,No,Yes,No,NA,Yes,No,,,,,,,,Science,,,1974,Delhi,No,No,No
Dalveer Bhandari,Male,Hindu,General,1-Oct-1947,Rajasthan,Jodhpur,19-Mar-1991,27-Apr-2012,No,Yes,Delhi,No,NA,,NA,,NA,,Yes,Bombay,NA,NA,Yes,28-Oct-2005,Bar,No,Yes,No,NA,Yes,No,Yes,,,,,,Jodhpur University,Arts,Jodhpur University,1968,1968,Rajasthan,Yes,No,Yes
Jiwan Dass Kapoor,Male,Hindu,General,10-Apr-1942,,,1-Dec-2000,10-Apr-2004,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,No,,No,,,,,,Entire education from School to College level from erstwhile Punjab,,Arts,,,,,No,No,No
Mahmood Ali Khan,Male,Muslim,General,12-Dec-1941,,,1-Dec-2000,14-Dec-2003,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,,No,No,,No,,,,,,"Did Schooling from SSK Inter College and Hinhu College, Moradabad","Hinhu College and K.G.K. College, Moradabad",,,,,,No,Yes,No
Surender Kumar Mahajan,Male,Hindu,General,5-Dec-1941,,,17-May-1995,4-Dec-2003,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Bar,No,Yes,No,NA,Yes,No,,,Yes,,,,,Science,,,1967,Delhi,No,No,No
Usha Mehra,Female,Hindu,,14-Nov-1941,,,13-Jul-1990,14-Nov-2003,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,Yes,,No,Yes,,,,,,,Arts,,,1962,Delhi,No,No,No
S.N. Kapoor,Male,Hindu,,28-May-1941,,,9-Apr-1996,28-May-2003,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,Yes,,No,,,,,,,,,,,1964,,No,Yes,No
Devinder Gupta,Male,Hindu,,4-Apr-1943,,,25-Jun-1990,4-Apr-2005,No,No,Himachal Pradesh,Yes,Delhi,28-Apr-1994,NA,,NA,,Yes,Andhra Pradesh (Hyderabad),NA,NA,No,,Bar,No,Yes,,NA,,No,,,,,,,,Arts,,,1967,Himachal Pradesh,No,No,No
Kripa Shankar Gupta,Male,Hindu,,7-Jan-1941,,,9-Apr-1996,7-Jan-2003,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,No,,No,,,,,,,,,,,1965,Uttar Pradesh,No,Yes,No
Anil Dev Singh,Male,Hindu,,22-Oct-1942,,,13-Jul-1990,22-Oct-2004,No,No,Delhi,No,NA,,NA,,NA,,Yes,Rajasthan,NA,NA,No,,Bar,No,Yes,,NA,,No,,,,,,,,Science,,,1964,Delhi,No,No,No
Sharda Aggarwal,Female,Hindu,,1-Dec-1940,,,1-Dec-2000,30-Nov-2002,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,No,,No,,,,,,,,Arts,,,1962,Delhi,No,No,No
Satya Brata Sinha,Male,Hindu,General,8-Aug-1944,Jharkhand (then in Bihar),Dhanbad,9-Mar-1987,8-Aug-2009,No,No,Patna,Yes,Calcutta,11-May-1994,NA,,NA,,Yes,Andhra Pradesh (Hyderabad),Delhi,NA,Yes,3-Oct-2002,Bar,No,Yes,Yes,NA,Yes,No,,,,,,"H. E. School, Dhanbad",,Science,Chotanagpur Law College,1967,1968,Bihar,No,No,No
Vinod Sagar Aggarwal,Male,Hindu,,20-Aug-1940,,,10-Nov-1994,20-Aug-2002,No,No,Delhi,Yes,Punjab and Haryana,30-Nov-1994,,2-Jun-2001,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,,,No,,,,,,,,Arts,,,1962,Punjab and Haryana,No,No,No
Arun Kumar,Male,Hindu,,12-Apr-1941,,,13-Jul-1990,11-Apr-2006,No,No,Delhi,No,NA,,NA,,NA,,Yes,Rajasthan,NA,NA,Yes,3-Oct-2002,Bar,No,Yes,No,NA,,No,,,,,,,,Commerce,,,1964,Delhi,Yes,No,Yes
Arijit Pasayat,Male,Hindu,,10-May-1944,,,20-Mar-1989,10-May-2009,No,No,Orissa,No,NA,,NA,,NA,,Yes,Kerala,Delhi,NA,Yes,19-Oct-2001,Bar,No,Yes,No,NA,,No,,,,,,,,,,,1968,Orissa,,,No
Cyriac Joseph,Male,Christian,,28-Jan-1947,Kerala,Kaipuzha (Kottayam) ,6-Jul-1994,27-Jan-2012,No,No,Kerala,Yes,Delhi,5-Aug-1994,Kerala,21-Sep-2001,NA,,Yes,Uttarakhand,Karnataka,NA,Yes,7-Jul-2008,Bar,No,Yes,No,NA,Yes,No,,,,,,"St.Margarette's U.P.School and St.George's High School Kaipuzha, St.Thomas College Pala, St.Berchmans College Changanacherry",,Science,"Govt. Law College, Trivandrum",,1968,Kerala,No,No,No
Chander Mohan Nayar,Male,Hindu,,23-Sep-1939,,,19-Mar-1991,23-Sep-2000,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Bar,No,Yes,No,NA,Yes,No,,,,,,,,Arts,,,1962,,No,No,Yes
Nikhilchandra Gulabshankar Nandi,Male,Hindu,,21-Mar-1942,Gujarat,Baroda,12-Oct-1994,20-Mar-2004,No,No,Gujarat,Yes,Delhi,31-Oct-1994,Gujarat,4-Jun-2001,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,Yes,,No,,,,,,,,,"Faculty of Law (M. S. University, Baroda)",1966,1967,Gujarat,No,,No
M S A Siddiqui,Male,Muslim,,29-May-1939,,,27-Sep-1994,29-May-2001,No,No,Madhya Pradesh,Yes,Delhi,28-Sep-1994,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,Yes,,No,,,,,,,,Commerce,,,,,No,No,No
K Ramamoorthy,Male,Hindu,,13-Mar-1939,,,17-Oct-1994,13-Mar-2001,No,No,Madras,Yes,Delhi,30-Nov-1994,NA,,NA,,No,NA,NA,NA,No,,Bar,No,Yes,Yes,NA,,No,,,,,,,,,,,1964,Tamil Nadu,,,
Sam Nariman Variava,Male,,,8-Nov-1940,,,21-Nov-1986,7-Nov-2005,No,No,Bombay,No,NA,,NA,,NA,,Yes,Delhi,NA,NA,Yes,15-Mar-2000,Bar,,Yes,,,,No,,,,,,,,Arts,,,1964,Maharashtra,No,No,Yes
Lokeshwar Prasad,Male,Hindu,General,26-Nov-1936,,,17-May-1995,26-Nov-1998,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,No,Yes,No
J. B. Goel,Male,Hindu,,,,,17-May-1995,6-Aug-2000,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,,No,,No,,,,,,,,,,,,,,,
Ram Prakash Gupta,Male,Hindu,,1-Dec-1937,,,16-Dec-1994,1-Dec-1999,No,No,,Yes,Madhya Pradesh,6-May-1996,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,Arts,,,,NA,No,No,No
P K Jain,Male,Hindu,,25-Feb-1936,,,10-Nov-1994,24-Feb-1998,No,No,Delhi,Yes,Punjab and Haryana,9-Jan-1995,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,,,No,,,,,,,,,,,,,,,,,
Suman Dattaram Pandit,Male,Hindu,General,6-Oct-1936,,,6-Oct-1994,2-Sep-1998,No,Yes,Bombay,Yes,Delhi,1-Nov-1994,Gujarat,20-Apr-1996,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,No,,No,,,,,,,,,,,1962,Maharashtra,,,
Ashok Kumar Srivastava,Male,Hindu,,1-Jul-1937,,,29-Sep-1994,1-Jul-1999,No,No,Allahabad,Yes,Delhi,18-Oct-1994,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,,,No,,,,,,,,,,,Lucknow University,1957,,,No,Yes,No
Mamidana Jagannadha Rao,Male,Hindu,General,2-Dec-1935,Andhra Pradesh,Rajahmundry,29-Sep-1982,1-Dec-2000,No,No,Andhra Pradesh (Hyderabad),No,NA,,NA,,NA,,Yes,Kerala,Delhi,NA,Yes,21-Mar-1997,Bar,No,Yes,No,NA,,No,,,,,Yes,,,Science,,,1960,,No,No,No
Ramesh Chandra Lahoti,Male,Hindu,,1-Nov-1940,,,3-May-1988,31-Oct-2005,No,No,Madhya Pradesh,Yes,Delhi,1-Feb-1994,NA,,NA,,No,NA,NA,NA,Yes,9-Dec-1988,Bar,Yes,Yes,No,No,,No,,,,,,,,Commerce,,,1962,Madhya Pradesh,No,No,No
Konethota Shivshankar Bhat,Male,Hindu,,12-Mar-1933,,,6-Mar-1987,12-Mar-1995,No,No,Karnataka,Yes,Delhi,,NA,,NA,,No,NA,NA,NA,No,,Bar,No,Yes,Yes,NA,Yes,No,,,,,Yes,,,Arts,Madras Law College (Madras University),,1958,,No,No,No
Arun Madan,Male,Hindu,,7-Apr-1945,,,3-Mar-1933,21-Mar-2003,Yes,No,Delhi,Yes,Rajasthan,24-Feb-1994,NA,,NA,,No,NA,NA,NA,No,,Bar,No,Yes,No,NA,,No,,,,,,,,Arts,,,1968,Delhi,No,No,No
Gokal Chand Mittal,Male,Hindu,,4-Mar-1933,,,19-Feb-1979,4-Mar-1995,No,No,Punjab and Haryana,No,NA,,NA,,NA,,Yes,Delhi,NA,NA,No,,Bar,No,Yes,No,NA,,No,,,,,,,,Science,,,1956,Punjab and Haryana,No,No,No
Mohd. Shamim,Male,Muslim,,30-Dec-1937,,,19-Mar-1991,30-Dec-1999,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,No,,No,,,,,,,,,Agra University,,,Uttar Pradesh,No,Yes,No
Sat Pal,Male,Hindu,,15-Jul-1936,,,19-Mar-1991,14-Jul-1998,No,No,Delhi,Yes,Punjab and Haryana,1-Sep-1994,NA,,NA,,No,NA,NA,NA,No,,Bar,,Yes,No,,Yes,No,,,,,,,,,,,1970,Delhi,No,Yes,No
Jagdish Kumar Mehra,Male,Hindu,,6-Nov-1935,,,19-Mar-1991,6-Nov-1997,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Bar,No,Yes,No,NA,,No,,,,,,,,,,,1962,Delhi,,,No
Milap Chand Jain,Male,Hindu,,21-Jul-1929,,,15-Jun-1978,20-Jul-1991,No,No,Rajasthan,No,NA,,NA,,NA,,Yes,Delhi,NA,NA,No,,Service,Yes,Yes,No,No,,No,,,,,,,,,,,1953,Rajasthan,,,
Sagar Chand Jain,Male,Hindu,,23-Sep-1933,,,13-Jul-1990,23-Sep-1995,No,No,Delhi,Yes,Allahabad,28-Apr-1994,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,Yes,,No,,,,,,,"Government College, Rohtak",Arts,University of Delhi,,,Delhi,No,No,No
Jaspal Singh,Male,Sikh,General,17-Jul-1936,,,13-Jul-1990,17-Jul-1998,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,,,No,,,,,,,,,,Arts,,,,,No,No,No
Mohan Lal Verma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rameshwar Lal Gupta,Male,Hindu,,15-Oct-1932,,,27-Apr-1989,15-Oct-1994,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,Yes,,No,,,,,,,,,,,,,No,Yes,No
Vidya Bhushan Bansal,Male,Hindu,,1-Oct-1935,,,27-Apr-1989,23-Nov-1994,Yes,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,Yes,,No,,,,,,,,Arts,,,,,No,No,No
Padam Nath Nag,Male,Hindu,General,5-Mar-1933,,,12-Oct-1988,5-Mar-1995,No,No,Delhi,Yes,Allahabad,28-Apr-1994,NA,,NA,,No,NA,NA,NA,No,,Bar,No,Yes,No,NA,Yes,Yes,Yes,,Yes,,,,,Arts,,,1965,Himachal Pradesh,No,No,No
P. K. Bahri,Male,Hindu,,24-Apr-1931,,,10-Jul-1987,2-Apr-1996,No,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,,,No,,,,,,,,,,,,,,,No,Yes,No
Yogesh Kumar Sabharwal,Male,Hindu,,14-Jan-1942,,,17-Nov-1986,13-Jan-2007,No,No,Delhi,No,NA,,NA,,NA,,Yes,Bombay,NA,NA,Yes,28-Jan-2000,Bar,No,Yes,No,NA,Yes,No,Yes,,,,,,Hindu College,Arts,University of Delhi,1964,1964,Delhi,No,No,No
N.C. Kochar,Male,Hindu,,26-Mar-1935,,,17-Nov-1986,25-Mar-1997,No,No,Delhi,Yes,Rajasthan,17-Jun-1988,NA,,NA,,No,NA,NA,NA,No,,Service,Yes,Yes,No,No,,No,,,,,,,,Arts,,,1962,Delhi,No,No,No
Ajay Prakash Misra,Male,Hindu,,1-Sep-1936,,,24-May-1984,31-Aug-2001,No,No,Allahabad,No,NA,,NA,,NA,,Yes,Delhi,NA,NA,Yes,4-Dec-1997,Bar,No,Yes,No,NA,Yes,No,,,Yes,,,,,Science,,,1960,Uttar Pradesh,No,No,No
A.B. Saharya,Male,Hindu,,15-Sep-1940,,,24-Apr-1986,14-Sep-2002,No,No,Delhi,No,NA,,NA,,NA,,Yes,Punjab and Haryana,NA,NA,No,,Bar,No,Yes,Yes,NA,,No,,,,,,,,Arts,,,1963,Karnataka,No,No,No
Mahinder Narain,Male,Hindu,,24-Mar-1937,,,4-Jul-1985,7-Feb-1999,Yes,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Bar,No,Yes,No,NA,,No,,,,,,,,,,,1962,Delhi,No,Yes,No
Sunanda Bhandare,Female,Hindu,,1-Nov-1942,,,1-Jun-1984,10-Nov-1994,Yes,No,Delhi,No,NA,,NA,,NA,,No,NA,NA,NA,No,,Bar,No,Yes,No,NA,,No,,,,,,,,Arts,,,1968,Maharashtra,No,No,No
Devinder Pratap Wadhwa,Male,Hindu,,5-May-1935,,,12-Aug-1983,4-May-2000,No,No,Delhi,No,NA,,NA,,NA,,Yes,Patna,NA,NA,Yes,21-Mar-1997,Bar,No,Yes,No,NA,Yes,No,,,,,,,,Science,,,1962,,No,No,No
Bhupinder Nath Kirpal,Male,Hindu,,8-Nov-1937,,,20-Nov-1979,7-Nov-2002,No,No,Delhi,No,NA,,NA,,NA,,Yes,Gujarat,NA,NA,Yes,11-Sep-1995,Bar,No,Yes,No,NA,Yes,No,,,,,,,,Arts,,,1962,,No,No,No
Yogeshwar Dayal,Male,Hindu,,18-Nov-1930,Pakistan (then in Punjab),Lahore,28-Feb-1974,2-Aug-1994,Yes,No,Delhi,No,NA,,NA,,NA,,Yes,Andhra Pradesh (Hyderabad),NA,NA,Yes,22-Mar-1991,Bar,No,Yes,No,NA,Yes,No,Yes,,,,,,"Bhargava Municipal College, Simla",Arts,University of Delhi,,1955,Punjab and Haryana,No,No,No
