Name,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
S. Ravindra Bhat,Male,Hindu,General,21-Oct-1958,Karnataka,Mysore,16-Jul-2004,20-Oct-2023,No,No,Delhi High Court ,No,,,,,,,Yes,Rajasthan High Court ,,,Yes,23-Sep-2019,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,"Central School, Faridabad","Hindu College, University of Delhi",B.A. (Hons.) in English literature,University of Delhi,1982,1982,Bar Council of Delhi,No,No,No
Valmiki J Mehta,Male,Hindu,General,6-Jun-1959,Maharashtra,Mumbai,15-Apr-2009,1-Mar-2019,Yes,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,No,"Kendriya Vidyalaya, Vishakhapatnam","Sri Venkateshwara College, Delhi University ",B. Com (H),University of Delhi,,1982,Bar Council of Delhi,No,No,No
Sanjiv Khanna,Male,Hindu,General,14-May-1960,,,24-Jun-2005,13-May-2025,No,No,Delhi High Court ,No,,,,,,,No,,,,Yes,18-Jan-2019,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,,Delhi University ,,Delhi University ,,1983,Bar Council of Delhi,No,No,No
Pratibha Rani,Female,Hindu,General,25-Aug-1956,,,17-Oct-2011,24-Aug-2018,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,"Lady Shri Ram College, Delhi University ",,Delhi University ,1978,,,No,No,No
P.S. Teji,Male,Sikh,General,14-Aug-1956,Punjab,,15-Dec-2014,13-Aug-2018,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,,,,Punjab University,,,,No,Yes,No
Gita Mittal,Female,Hindu,General,9-Dec-1958,,,16-Jul-2004,8-Dec-2020,No,No,Delhi High Court ,No,,,,,,,Yes,Jammu & Kashmir High Court ,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,Lady Irwin Higher Secondary School,"Lady Shri Ram College, Delhi University",B.A. (Eco Hons.),Delhi University ,1981,,,No,No,No
S.P. Garg,Male,Hindu,General,15-Jun-1956,Punjab,"Maur, District Bhatinda",17-Oct-2011,14-Jun-2018,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,Yes,"S.S.D High School, Maur","Rajindera Government College, Bathinda",B. Com,"Panjab University, Chandigarh",1979,1979,Bar Council of Punjab & Haryana,No,Yes,Yes
Deepa Sharma,Female,Hindu,General,28-May-1956,,,17-Apr-2018,27-May-2018,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,No,No,No,No,No,No,No,,,Bachelor of Science,Delhi University ,1978,,,No,No,No
Ashutosh Kumar,Male,Hindu,General,1-Oct-1966,,,15-May-2014,30-Sep-2028,No,No,Patna High Court ,Yes,Delhi High Court ,7-Jan-2015,Patna High Court ,21-Nov-2017,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,"St. Michaels' High School, Patna","St. Stephens' College, Delhi University",,Delhi University ,,1991,,No,No,No
Indermeet Kaur,Female,Sikh,General,22-Mar-1956,,,14-May-2009,21-Mar-2018,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,No,No,No,No,No,No,No,"Mater Dei Covent School, New Delhi","Lady Shri Ram College, University of Delhi",Psychology (Hons.),Delhi University ,,1984,Bar Council of Delhi,No,No,Yes
G. Rohini,Female,,,14-Apr-1955,Andhra Pradesh,,25-Jun-2001,13-Apr-2017,No,No,Andhra Pradesh High Court,No,,,,,,,Yes,Delhi High Court,,,No,,Bar,No,Yes,No,No,Yes,No,No,No,No,No,No,,Osmania University,Science,"College of Law, Andhra University, Visakhapatnam",,1980,,No,No,No
Indira Banerjee,Female,Hindu,General,24-Sep-1957,,,5-Feb-2002,24-Sep-2022,No,No,Calcutta High Court ,Yes,Delhi High Court ,8-Aug-2015,,,,,Yes,Madras High Court ,,,Yes,7-Aug-2018,Bar,No,Yes,No,No,No,No,No,No,No,No,No,"Loreto House, Calcutta",Presidency College,History (Hons.),Calcutta University College of Law,,1985,,No,No,No
Pradeep Nandrajog,Male,Hindu,General,24-Feb-1958,,,20-Dec-2002,23-Feb-2020,No,No,Delhi High Court ,No,,,,,,,Yes,Rajasthan High Court ,Bombay High Court ,,No,,Bar,No,Yes,No,No,Yes,No,No,No,Yes,No,No,,Delhi University,,Delhi University ,1981,1981,Bar Council of Delhi,No,No,No
Badar Durrez Ahmed,Male,Muslim,General,16-Mar-1956,Meghalaya,Shillong,20-Dec-2002,15-Mar-2018,No,No,Delhi High Court ,No,,,,,,,Yes,Jammu & Kashmir High Court ,,,No,,Bar,No,Yes,No,No,No,No,No,No,No,No,Yes,"St. Edmund's College, Shillong","St. Stephens' College, Delhi University/Trinity College, Cambridge University",Economics (Hons.),Delhi University ,1980,1980,Bar Council of Delhi,No,Yes,No
Sunita Gupta,Female,Hindu,General,14-Dec-1954,West Bengal,Kolkata,17-Apr-2013,13-Dec-2016,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,No,No,No,No,No,No,No,,"Miranda House, University of Delhi",B. A. (Hons.) Philosophy,Delhi University ,1978,1978,Bar Council of Delhi,No,Yes,No
Manmohan Singh,Male,Sikh,General,,,,11-Apr-2008,21-Sep-2016,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,Yes,,,,,,,,,,
Sudershan Kumar Misra,Male,Hindu,General,7-Sep-1954,,,4-Jul-2007,6-Sep-2019,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,Yes,No,No,"Delhi Public School, Mathura Road","Hindu College, Delhi University",B. A. (Hons.) History,Delhi University ,,1978,Bar Council of Delhi,No,No,No
V. K. Shali,Male,,,15-Jun-1954,Delhi,Delhi,11-Apr-2008,14-Jun-2016,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,,,,Delhi University ,1976,1976,Bar Council of Delhi,No,No,Yes
Ved Prakash Vaish,Male,Hindu,General,27-Jun-1959,,,17-Apr-2013,26-Jun-2021,No,No,Delhi High Court ,Yes,Meghalaya High Court ,23-May-2016,Allahabad High Court ,27-Nov-2017,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,,Delhi University,,Delhi University ,1984,1984,Bar Council of Delhi,No,No,No
Kailash Gambhir,Male,Hindu,General,7-Sep-1953,Delhi,Delhi,29-May-2006,6-Sep-2015,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,,"Kirori Mal College, University of Delhi",,Delhi University ,1979,1979,Bar Council of Delhi,No,No,No
G. P. Mittal,Male,Hindu,General,,,,29-Oct-2010,8-Jul-2015,No,Yes,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,,,,Kurukshetra University,1976,,,No,No,No
Reva Khetrapal,Female,Sikh,General,23-Sep-1952,Himachal Pradesh,Shimla,28-Feb-2006,22-Sep-2014,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,Yes,Yes,No,No,Yes,No,No,No,No,No,No,"Convent of Jesus and Mary, New Delhi",Miranda House ,History (Hons.),Delhi University ,,1975,Bar Council of Delhi,No,No,No
P. K. Bhasin,Male,Hindu,General,20-Jul-1952,Haryana,"Sahbad Markanda, Kurukshetra District",5-Apr-2006,19-Jul-2014,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,"DAV School, Patel Nagar, New Delhi",Delhi University,,Delhi University ,1974,1974,Bar Council of Delhi,No,No,No
Veena Birbal,Female,Hindu,General,1-Jul-1952,Delhi,Delhi,31-Aug-2007,30-Jun-2014,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,Yes,Yes,No,No,No,No,No,No,No,No,No,,"Miranda House, University of Delhi",B. Sc.,Delhi University ,1977,1978,Bar Council of Delhi,No,No,No
V.K. Jain,Male,,,15-May-1952,,,14-May-2009,14-May-2014,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,,Delhi University ,,,,No,No,Yes
R.V. Easwar,Male,,,29-Apr-1952,,,17-Oct-2011,28-Apr-2014,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,Yes,Yes,No,No,No,No,No,No,No,No,Yes,,Madurai University,B. Com.,Bangalore University,1974,1975,"Bar, High Court of Madras/Madras Bar Association",No,Yes,Yes
N.V. Ramana,Male,Hindu,General,27-Aug-1957,Andhra Pradesh,"Ponnavarram, Krishna District",27-Jun-2000,26-Aug-2022,No,No,Andhra Pradesh High Court,No,,,,,,,Yes,Delhi High Court,,,Yes,,Bar,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,,,B. Sc.,,,1983,,No,No,No
