Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Justice Sudhanshu Dhulia,Male,Hindu,ST,10-Aug-1960,Uttarakhand,"Lansdowne, Pauri Garhwal",1-Nov-2008,9-Aug-2022,No,No,Uttarakhand,Yes,Gauhati High Court,10-Jan-2021,-,,-,,Yes,Gauhati High Court,-,-,No,,Bar,No,Yes,Yes,NA,Yes,No,Yes,No,Yes,NA,NA,NA,Allahabad University,NA,Allahabad University,1986,1986,Allahabad,No,Yes,No
Justice N. Kotiswar Singh,Male,Hindu,General,1-Mar-1963,Manipur,Imphal,17-Oct-2011,28-Feb-2025,No,No,Manipur,Yes,Gauhati High Court,11-Oct-2018,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,"Ramakrishna Mission Vidyapith, Purulia, West Bengal and Pre University Course in Science from St. Anthony’s College, Shillong","Kirori Mal College, Delhi University ",B.A. (Hons.) in Political Science,"Campus Law Centre, Delhi University",1986,1986,Delhi,No,No,No
Justice Manash Ranjan Pathak,Male,Hindu,General,28-Aug-1965,Assam,Guwahati,22-May-2013,27-Aug-2027,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,Yes,No,NA,NA,NA,NA,NA,"Kendriya Vidyalaya, Khanapara, Guwahati","St. Josephs’ College, Bangalore",Arts,"Government Law College, Panbazar, Guwahati, Gauhati University",,1990,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Justice Michael Zothankhuma,Male,Christian,,23-Oct-1965,-,-,7-Jan-2015,22-Oct-2027,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,NA,No,NA,NA,NA,NA,NA,"St. Edmund's School, Shillong", Hindu College under Delhi University.,B.A. (Hons.) in English,Campus Law Centre under Delhi University,,,-,No,No,No
Justice Suman Shyam,Male,,,12-Jun-1969,-,-,7-Jan-2015,11-Jun-2031,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,Gauhati University,B.Sc (Major),"J.B. Law College, Guwahati",,1996,Assam,No,No,No
Justice Rumi Kumari Phukan,Female,Hindu,General,1-Jul-1960,Assam,Jorhat,1-Dec-1988,30-Jun-2022,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,NA,NA,"JB College, Jorhat",BA (Hons in Economics),Jorhat Law College,1987,1987,Assam,No,No,No
Justice Songkhupchung Serto,Male,Christian,ST,1-Mar-1961,Manipur,"Sagang Village, Churachandpur District",16-May-1992,28-Feb-2023,No,No,Manipur,Yes,Gauhati High Court,3-Oct-2016,-,,-,,No,-,-,-,No,,Service,Yes,Yes,No,Yes,NA,No,NA,NA,NA,NA,NA,NA,"St. Anthony’s College, Shillong",NA,"Law Faculty, Delhi University",,1986,-,No,No,No
Justice Achintya Malla Bujor Barua,Male,Hindu,General,15-Dec-1961,-,-,15-Nov-2016,14-Dec-2023,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,No,Yes,No,Yes,NA,NA,NA,NA,"Kendriya Vidyalaya, Guwahati",Utkal University,-,"Government Law College, Guwahati under Gauhati University",,1988,Assam,No,Yes,No
Justice Kalyan Rai Surana,Male,Jain,General,13-Dec-1965,-,-,15-Nov-2016,12-Dec-2027,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,Commerce (Major in Management Accountancy & Taxation),NA,1991,1992,-,No,No,No
Justice Prasanta Kumar Deka,Male,Hindu,,5-Nov-1959,-,-,15-Nov-2016,4-Nov-2021,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,No,NA,No,NA,NA,NA,NA,NA,NA,"Assam Engineering College, Jalukbari, Guwahati",Integrated B.E. Course,"Government Law College, Guwahati under Gauhati University",1989,1996,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Justice Nelson Sailo,Male,Christian,ST,9-Oct-1968,-,-,15-Nov-2016,8-Oct-2030,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,No,Yes,No,NA,NA,Yes,NA,Yes,"St. Paul’s High School, Aizawl"," St. Anthony’s College, Shillong under the North Eastern Hill University (NEHU)",Arts,"Shillong Law College, NEHU",1995,1996,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Justice Ajit Borthakur,Male,Hindu,General,1-Dec-1961,-,-,3-Dec-1988,30-Nov-2023,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,No,No,Yes,No,No,No,No,No,No,No,NA,NA,NA,Gauhati University,,,-,No,Yes,No
Justice Sanjay Kumar Medhi,Male,Hindu,,7-Mar-1971,Assam,Guwahati,19-Nov-2018,6-Mar-2033,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,No,Yes,No,NA,NA,NA,NA,Yes,"Cotton College, Guwahati","Ramjas College, Delhi University",B.A. degree with Honours in Economics,Campus Law Centre,1994,1994,North East Bar Council,No,No,No
Justice Hitesh Kumar Sarma,Male,Hindu,General,1-Jul-1960,Assam,Pathsala,8-Dec-1988,30-Jun-2022,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,No,No,Yes,NA,No,NA,NA,NA,NA,No,"MP School, Pathsala"," Bajali College, Pathshala",Arts,"JB Law College, Guwahati",1985,, Barpeta District Bar,No,No,No
Justice Nani Tagia,Male,,,16-May-1969,-,-,19-Nov-2018,15-May-2031,No,No,Arunachal Pradesh,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,No,"Govt. Higher Secondary School, Ziro, Lower Subansiri District, Arunachal Pradesh","Govt. College, Itanagar (Arunachal University)",B.A.,Campus Law Centre (Delhi University).,,,-,No,No,No
Justice Manish Choudhury,Male,Hindu,General,1-Mar-1972,-,-,18-Jan-2019,28-Feb-2034,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,No,Yes,No,Yes,NA,Yes,Yes,No,"Cotton College, Guwahati ","Ramjas College, University of Delhi",B.A. (Honours) in Economics,J.B. Law College under the Gauhati University.,,1999,Assam,No,Yes,No
Justice Soumitra Saikia,Male,Hindu,OBC,,-,-,26-Nov-2019,,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,No,Yes,No,Yes,NA,Yes,NA,No,NA,NA,NA,J.B.  Law College under the Gauhati University,1995,,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram,",No,No,No
Justice Parthivjyoti Saikia,Male,Hindu,,18-Apr-1965,-,-,26-Nov-2019,,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,,,-,No,No,No
Justice S. Hukato Swu,Male,Christian,ST,1-Jan-1960,-,-,26-Nov-2019,,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,No,No,Yes,No,NA,NA,NA,NA,NA,Goalpara Sainik School Assam,"St. Anthony's College Shillong,",NA,"Campus Law Centre- I, Delhi",1986,,-,No,No,No
Justice A. S. Bopanna,Male,Hindu,,20-May-1959,-,-,6-Jan-2006,19-May-2024,No,No,Karnataka,Yes,Gauhati High Court,29-Oct-2018,-,,-,,Yes,Gauhati,-,-,Yes,24-May-2019,Bar,No,Yes,No,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,1984,-,No,No,No
Justice Hrishikesh Roy,Male,Hindu,General,1-Feb-1960,-,-,12-Oct-2006,31-Jan-2025,No,No,Gauhati,Yes,Kerala,8-Aug-2018,-,,-,,Yes,Kerala,-,-,Yes,23-Sep-2019,Bar,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Campus Law Centre, University of Delhi ",1982,,-,No,No,No
Justice Sailendu Nath Phukan,Male,Hindu,General,1-Apr-1937,-,-,11-Oct-1985,31-Mar-2002,No,No,Gauhati,Yes,Himachal Pradesh,30-Sep-1994,Orissa ,2-Aug-1996,-,,Yes,Himachal Pradesh,-,-,Yes,28-Jan-1999,Bar,Yes,Yes,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1962,Assam,No,No,No
Justice Brijesh Kumar,Male,Hindu,,10-Jun-1939,Lucknow,Uttar Pradesh,24-May-1984,9-Jun-2004,No,No,Allahabad,Yes,Gauhati High Court,12-Feb-1999,-,,-,,Yes,Gauhati,-,-,Yes,19-Oct-2000,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,NA,NA,,1960,Uttar  Pradesh,No,No,No
Justice H. K. Sema,Male,Hindu,,1-Jun-1943,-,Nagaland,24-May-1989,1-Jun-2008,No,No,Gauhati,Yes,Gujarat,25-Jan-2000,Jammu and Kashmir,7-Jun-2001,-,,Yes,Gujarat,Jammu and Kashmir,-,Yes,5-Mar-2002,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,St. Joseph College Darjeeling,NA,"Govt. Law College, Bombay",1970,1971,Assam and Nagaland,No,No,No
Justice Prakash Prabhakar Naolekar,Male,Hindu,,29-Jun-1943,Jabalpur,Madhya Pradesh,15-Jun-1992,29-Jun-2008,No,No,Madhya Pradesh,Yes,Rajasthan,28-Apr-1994,Gauhati,10-Jun-2002,-,,Yes,-,Gauhati,-,Yes,28-Jul-2004,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,Yes,NA,Jabalpur University,BCom,Jabalpur University,1965,1965,-,No,No,No
Justice B. Sudershan Reddy,Male,Hindu,General,8-Jul-1946,"Akula Mylaram Village, erstwhile Ibrahimpatnam Taluq, presently Kandukur Revenue Mandal, Rangareddy District",Andhra Pradesh,2-May-1995,7-Jul-2011,No,No,Andhra Pradesh,Yes,Gauhati High Court,5-Dec-2005,-,,-,,Yes,Gauhati,-,-,Yes,12-Jan-2007,Bar,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,NA,NA,NA,"Osmania University, Hyderabad",1971,1971,-,No,No,No
Justice Dr. Mukundakam Sharma,Male,Hindu,General,18-Sep-1946,Calcutta',West Bengal,10-Jan-1994,17-Sep-2011,No,No,Gauhati,Yes,Patna,14-Feb-1994,Delhi,12-Dec-1994,-,,Yes,-,Delhi,-,Yes,9-Apr-2008,Bar,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,"Cotton College, Guwahati","Ramjas College, Delhi University",B.A.,Gauhati University,,,Assam & Nagaland,No,Yes,Yes
Justice Ananga Kumar Patnaik,Male,Hindu,,3-Jun-1949,-,-,13-Jan-1994,2-Jun-2014,No,No,Orissa,Yes,Gauhati High Court,7-Feb-1994,Orissa ,15-Apr-2002,Chattisgarh,14-Mar-2005,Yes,-,-,Chattisgarh,Yes,17-Nov-2009,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,No,No,"Rajkumar College, Raipur",Delhi University,Honours in Political Science ,"Madhusudan Law College, Cuttack",,1974,Orissa,No,No,Yes
Justice Amitava Roy,Male,Hindu,General,3-Mar-1953,Calcutta',West Bengal,4-Feb-2002,1-Mar-2018,No,No,Gauhati,Yes,Rajasthan,2-Feb-2013,Orissa ,6-Aug-2014,-,,Yes,Rajasthan,Orissa,-,Yes,27-Feb-2015,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,NA,NA,NA,Dibrugarh University,1976,1976,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,Yes,No
Justice Jasti Chelameswar,Male,Hindu,,23-Jun-1953,"Pedda Muttevi, Movya Mandal in Krishna District",Andhra Pradesh,23-Jun-1997,22-Jun-2018,No,No,Andhra Pradesh,Yes,Gauhati High Court,3-May-2007,Kerala,17-Mar-2010,-,,Yes,Gauhati,Kerala,-,Yes,10-Oct-2011,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,Hindu High School at Machilipatnam in Krishna District,Madras Loyola College,Science (Physics),"Andhra University, Visakhapatnam",1976,,-,No,No,No
Justice Adarsh Kumar Goel,Male,Hindu,General,7-Jul-1953,Hissar,Haryana,2-Jul-2001,6-Jul-2015,No,No,Punjab and Haryana,Yes,Gauhati High Court,12-Sep-2011,Orissa ,11-Oct-2013,-,,Yes,Gauhati,Orissa,-,Yes,7-Jul-2014,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,NA,"Panjab University, Chandigarh",B.A. (Hons.),"Panjab University, Chandigarh",,1974,Punjab and Haryana,No,No,No
Justice Madan Bhimarao Lokur,Male,Hindu,General,31-Dec-1953,-,-,19-Feb-1999,30-Dec-2018,No,No,Delhi,Yes,Gauhati High Court,24-Jun-2010,Andhra Pradesh,15-Nov-2011,-,,Yes,Gauhati,Andhra Pradesh,-,Yes,4-Jun-2012,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,"St. Josephs Collegiate, Allahabad","St. Stephen's College, Delhi University ",History (Hons.) ," Faculty of Law, Delhi University",1977,1977,-,No,No,No
Justice Abhay Manohar Sapre,Male,Hindu,General,28-Aug-1954,Jabalpur,Madhya Pradesh,25-Oct-1999,27-Aug-2019,No,No,Madhya Pradesh,Yes,Rajasthan,11-Feb-2010,Chattisgarh,23-Apr-2012,Manipur,23-Mar-2013,Yes,-,-,Manipur,Yes,13-Aug-2014,Bar,No,Yes,No,NA,No,No,No,No,Yes,No,No,"Model High School, Jabalpur","Government Arts College, Jabalpur",B.A.,"University Teaching Department (VTD) Jabalpur, University of Jabalpur",,1978,Madhya Pradesh,No,No,No
Justice Ranjan Gogoi,Male,Hindu,General,18-Nov-1954,-,-,28-Feb-2001,17-Nov-2019,No,No,Gauhati,Yes,Punjab & Haryana,9-Sep-2010,-,,-,,Yes,Punjab and Haryana,-,-,Yes,23-Apr-2012,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,1978,-,No,No,No
Justice R. K. Manisan Singha,Male,Hindu,General,2-Feb-1932,-,-,21-Nov-1984,1-Feb-1994,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,No,NA,NA,NA,NA,,1958,-,No,No,No
Justice Viney Krishna Khanna,Male,Hindu,General,15-Feb-1935,-,-,2-Jul-1979,14-Feb-1997,No,No,Allahabad,Yes,Gauhati High Court,24-Apr-1994,-,,-,,Yes,Gauhati,-,-,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,"Government High School, Bijnor","BNSD College, Kanpur",NA,"Allahabad University, Allahabad",,1960,-,No,No,No
Justice M. Ramakrishna,Male,Hindu,,13-Apr-1936,-,-,10-Jan-1983,12-Apr-1998,No,No,Karnataka,Yes,Jammu and Kashmir,10-Oct-1994,Gauhati,18-Jun-1997,-,,Yes,Jammu and Kashmir,Gauhati,-,No,,Bar,Yes,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,1968,-,No,No,No
Justice Brijesh Kumar,Male,Hindu,,10-Jun-1939,lucknow,Uttar Pradesh,24-May-1984,9-Jun-2004,No,No,Allahabad,Yes,Gauhati High Court,12-Feb-1999,-,,-,,Yes,Gauhati,-,-,Yes,19-Oct-2000,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,NA,NA,,1960,-,No,No,No
Justice N. C. Jain,Male,Jain,General,,-,-,27-Jun-1988,5-Apr-2001,No,No,Punjab and Haryana,Yes,Gauhati High Court,,-,,-,,Yes,Gauhati,-,-,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,,-,No,No,No
Justice Ravinder Singh Mongia,Male,Sikh,General,10-Jun-1940,-,-,15-Jun-1990,10-Jun-2002,No,No,Punjab and Haryana,Yes,Gauhati High Court,21-Jun-2001,-,,-,,Yes,Gauhati,-,-,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,NA,"Panjab University, Chandigarh ",1963,1964,Punjab and Haryana,No,No,No
Justice B. K. Roy,Male,Hindu,General,26-Dec-1944,-,-,31-Oct-1988,27-Dec-2006,No,No,Patna,Yes,Allahabad,28-Apr-1994,Punjab and Haryana,14-Oct-2002,Gauhati,21-May-2005,Yes,-,Punjab and Haryana,Gauhati,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,,,No,No,No
Justice R. S. Garg,Male,Hindu,General,18-Jun-1948,-,-,15-Dec-1994,18-Jun-2010,No,No,Madhya Pradesh,Yes,Patna,1-Nov-2001,Gujarat,28-Feb-2005,Madhya Pradesh,17-Sep-2007,Yes,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,1971,-,No,No,No
Justice Ajit Singh,Male,Hindu,General,6-Sep-1956,-,-,1-Apr-2002,5-Sep-2018,No,No,Madhya Pradesh,Yes,Rajasthan,19-Mar-2015,Gauhati,5-Mar-2016,-,,Yes,-,Gauhati,-,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,1979,-,No,No,No
Justice Ajai Lamba,Male,Hindu,OBC,21-Sep-1958,Abohar,Punjab,22-Mar-2006,20-Sep-2020,No,No,Punjab and Haryana,Yes,Allahabad,9-Dec-2011,Gauhati,7-Oct-2019,-,,Yes,-,Gauhati,-,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,No,NA,"Government College, Sector 11, Chandigarh", Honours Degree in Englis,"Punjab University, Chandigarh",,1981,-,No,No,No
Justice Jangsan Sangma,Male,,,1-Mar-1933,-,-,23-Jul-1986,1-Mar-1995,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1969,-,No,No,No
Justice S. P. Rajkhowa,Male,,,1-Apr-1932,Mangaldoi,Assam,11-Apr-1988,1-Apr-1994,No,No,Gauhati,No,Calcutta,1-Nov-1988,-,,-,,No,-,-,-,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,Govt. Boys H.S. School,"St. Anthony’s college, Shillong",B.A.,Guwahati University,1963,,-,No,Yes,No
Justice Swadesh Kumar Hom Chaudhuri,Male,Hindu,,1-Mar-1934,-,-,5-Dec-1988,1-Mar-1996,No,No,Gauhati,Yes,Patna,28-Apr-1994,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1970,Assam and Nagaland,No,No,No
Justice Y. Ibotombi Singh,Male,Hindu,General,1-Feb-1930,-,-,5-Dec-1988,1-Jan-1992,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,-,No,No,No
Justice Meera Sarma,Female,Hindu,General,4-Nov-1937,-,-,24-May-1989,3-Nov-1999,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,No,NA,NA,NA,NA,,1961,-,No,No,No
Justice Dhirendra Nath Baruah,Male,Hindu,General,1-Mar-1935,-,-,14-Nov-1991,1-Mar-1997,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,NA,NA,NA,NA,,1962,-,No,No,No
