Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Justice Biswendu Bhusan Deb,Male,Hindu,General,3-Jan-1946,-,-,15-Nov-2000,13-Apr-2003,Yes,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,Yes,Yes,Yes,NA,Yes,Yes,No,No,No,No,No,NA,NA,NA,NA,,1972,-,No,No,No
Justice Beryl Lamare,Male,,,23-Dec-1943,-,-,15-Nov-2000,22-Dec-2005,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,1975,-,No,No,No
Justice Ram Bhawan Misra,Male,Hindu,General,7-Aug-1951,-,-,24-Apr-2001,6-Aug-2013,No,No,Allahabad,Yes,Gauhati High Court,1-Jan-2005,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,1986,-,No,No,No
Justice Sunil Kumar Kar,Male,Hindu,,1-Aug-1942,-,-,4-Mar-2002,31-Jul-2004,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,-,No,No,No
Justice Hirendra Nath Sarma,Male,Hindu,General,1-Feb-1949,-,-,1-Nov-2004,31-Jan-2011,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,No,No,Yes,Yes,Yes,No,NA,"M C College, Barpeta",Science ,"J.B Law College, Guwahati",,1976,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh ",No,No,No
Justice Alokbaran Pal,Male,Hindu,General,1-Feb-1946,-,-,1-Nov-2004,31-Jan-2008,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,,1973,-,No,No,No
Justice Maibam Binoy Kumar Singh,Male,Hindu,General,1-Sep-1948,Imphal,Manipur,1-Nov-2004,1-Sep-2010,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Gauhati University,B.Sc.,"Aligarh Muslim University, Aligarh",1972,1976,"Assam, Nagaland, Meghalaya, Manipur & Tripura",No,No,Yes
Justice T. Nandakumar Singh,Male,Hindu,General,1-Feb-1954,-,-,25-Nov-2004,31-Jan-2016,No,No,Gauhati,Yes,Meghalaya,23-Mar-2013,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,Yes,No,No,NA,"Utkal University, Bhubaneswar",Science,Lucknow University,1977,1978,-,No,No,No
Justice Zelre Angami,Male,,,1-May-1946,-,-,22-Mar-2006,30-Apr-2008,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,Gauhati University,B.Com.,Dibrugarh University,,1972,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh ",No,Yes,No
Justice Utpalendu Bikas Saha,Male,Hindu,General,25-Aug-1954,Udaipur,Tripura,12-Oct-2011,24-Aug-2016,No,No,Gauhati,Yes,Tripura,23-Mar-2013,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,No,No,"K.B. Institution, Udaipur","Bir Bikram Evening College, Agartala",B.A.,Calcutta University,,1978,-,No,Yes,No
Justice Ketulhou Meruno,Male,,,11-Mar-1951,-,-,12-Oct-2006,11-Mar-2013,Yes,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,NA,NA,,1979,-,No,No,No
Justice Mutum Binoy Kumar Singh,Male,Hindu,General,27-Jan-1950,-,-,12-Oct-2006,27-Jan-2012,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,NA,NA,NA,NA,,1977,-,No,No,No
Justice Hareswar Baruah,Male,Hindu,General,1-Nov-1949,-,-,4-Jul-2007,31-Oct-2011,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,No,Yes,NA,No,No,No,No,No,"Hawajan High School, Dist - Sonitpur","Darrang College, Tezpur",Science,"University Law College, Guwahati",1973,1974,Gauhati,No,No,No
Justice Asok Potsangbam,Male,Hindu,,21-Apr-1949,Imphal,Manipur,26-Sep-2007,31-May-2013,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,No,No,NA,Calcutta University,B.A.,Delhi University,1974,,-,No,No,No
Justice Pranoy Kumar Musahary,Male,Hindu,,31-May-1951,"Alokjhar, Gossaigaon in Kokrajhar District",Assam,26-Sep-2007,30-May-2013,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,No,No,NA,"Saint Anthony's College, Shillong",B.A. (Hons),Gauhati University,1976,1977,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh ",No,Yes,No
Justice Arun Chandra Upadhyay,Male,Hindu,General,27-Jul-1951,-,-,28-Dec-2008,26-Jul-2013,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science,University of Law College under the Gauhati University,,1976,-,No,No,No
Justice Swapan Chandra Das,Male,Hindu,General,16-Mar-1955,-,-,17-Oct-2011,15-Mar-2017,No,No,Gauhati,Yes,Tripura,13-Sep-2013,-,,-,,No,-,-,-,No,,Bar,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,NA,Belonia College,NA,"University College of Law, Kolkata",,1981,-,No,No,No
Justice Subhasis Talapatra,Male,Hindu,,4-Oct-1961,Udaipur,Tripura,15-Nov-2011,,No,No,Gauhati,Yes,Tripura,13-Sep-2013,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,No,NA,University of Calcutta,Arts,University of Calcutta,,1990,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh ",No,No,No
Justice Sudip Ranjan Sen,Male,Hindu,General,9-Mar-1957,Shillong,Meghalaya,23-Mar-2013,8-Mar-2019,No,No,Gauhati,Yes,Meghalaya,23-Mar-2013,-,,-,,No,-,-,-,No,,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,NA,NA,BA,Shillong Law College under NEHU,,1989,-,No,No,No
 Justice Iqbal Ahmed Ansari,Male,Muslim,,29-Oct-1954,Tezpur,Assam,4-Mar-2002,28-Oct-2016,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,"Darrang College, Tezpur",B.Sc.,Tezpur Law College,,,-,No,No,No
Justice Anima Hazarika,Female,Hindu,General,1-Jan-1952,-,-,27-Feb-2006,31-Dec-2013,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,Yes,No,No,NA,NA,NA,NA,,1978,-,No,No,No
