Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Janakaroy Chandubhai Upadhyaya,Male,Hindu,,26-Nov-1950,Maharashtra,Bombay,21-Nov-2007,25-Nov-2012,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,NA,Saurashtra University,BA,Saurashtra University,1974,1974,Gujarat,No,No,Yes
Ashokkumar Laxminarayan Dave,Male,Hindu,,5-Dec-1950,NA,NA,11-Oct-1997,4-Dec-2012,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,Yes,No,No,Yes,No,No,No,NA,NA,BCom,NA,,1976,Gujarat,No,No,No
Dhirendra Hiralal Waghela,Male,Hindu,,11-Aug-1954,Gujarat,Rajkot,17-Sep-1999,10-Aug-2016,No,No,Gujarat High Court,No,,,,,,,Yes,Karnataka High Court,Odisha High Court,Bombay High Court,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,"Shri Swaminarayan Gurukul, Rajkot",BCom,"Shri A. M. P. Law College, Rajkot",1974,1975,Gujarat,No,No,Yes
Mukesh D. Shah,Male,Hindu,,15-Oct-1952,Gujarat,Mahesana,17-Jan-2005,26-Jun-2014,No,Yes,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,"Sardar Patel Arts and Commerce College, Mahesana",BA,"Vivekanand Law College, Mahesana",,1980,Gujarat,No,No,No
Bhaskar Bhattacharya,Male,Hindu,,29-Sep-1952,NA,NA,17-Jul-1997,28-Sep-2014,No,No,Calcutta High Court,Yes,Gujarat High Court,8-Sep-2011,,,,,Yes,Gujarat High Court,,,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,No,NA,NA,BSc,Jogesh Chandra Chaudhuri Law College,,1975,West Bengal,No,No,No
Ravikumar Rameshwardayal Tripathi,Male,Hindu,,6-May-1953,NA,NA,17-Sep-1999,6-May-2015,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,BCom,NA,,1978,Gujarat,No,Yes,Yes
V. M. Sahai,Male,Hindu,,13-Aug-1953,NA,NA,5-Feb-1999,12-Aug-2015,No,No,Allahabad High Court,Yes,Gujarat High Court,28-Oct-2010,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,Yes,NA,NA,NA,University of Allahabad,1975,1976,Uttar Pradesh,No,No,No
Jayant Maganlal Patel,Male,Hindu,,4-Aug-1956,Gujarat,Veraval,3-Dec-2001,25-Sep-2017,No,Yes,Gujarat High Court,Yes,Karnataka High Court,13-Feb-2016,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,No,No,NA,"M. S. University, Baroda",BCom,"M. S. University, Baroda",,1979,Gujarat,No,No,No
K. J. Thaker,Male,Hindu,,4-Sep-1961,Maharashtra,Bombay,4-May-2013,3-Sep-2023,No,No,Gujarat High Court,Yes,Allahabad High Court,11-Apr-2016,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,Yes,"St. Xavier's School, Ahmedabad","M.G. Science College, Ahmedabad",BSc,"Sir L.A. Shah Law College, Ahmedabad",,1987,Gujarat,No,No,Yes
R. D. Kothari,Male,Hindu,,15-Jun-1954,Gujarat,Rajkot,12-Nov-2012,14-Jun-2016,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,A.S.Chaudhary High School,Malaviya Commerce College,BCom,NA,1976,1977,Gujarat,No,Yes,No
K. S. Jhaveri,Male,Hindu,,5-Jan-1958,NA,NA,7-May-2004,4-Jan-2020,No,No,Gujarat High Court,Yes,Rajasthan High Court,24-Aug-2016,,,,,Yes,Orissa High Court,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,No,No,NA,Gujarat University,BSc,Gujarat University.,1983,1983,Gujarat,No,No,No
G. B. Shah,Male,Hindu,,14-Oct-1954,Gujarat,Vadodara,17-Feb-2011,13-Oct-2016,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,NA,Saurashtra University,NA,Sir L.A. Shah Law College,,1979,Gujarat,No,No,No
Abhilasha Kumari,Female,Hindu,,23-Feb-1956,NA,NA,2-Dec-2005,22-Feb-2018,No,No,Himachal Pradesh High Court,Yes,Gujarat High Court,9-Jan-2006,,,,,Yes,Manipur High Court,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,"Loreto Convent Tara Hall, Shimla, Himachal Pradesh",Indraprastha College,BA,Himachal Pradesh University,,1984,Himachal Pradesh,No,No,No
Saiyed Zahiruddin Khairuddin,Male,Muslim,,13-Apr-1956,NA,NA,21-Nov-2007,12-Apr-2018,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,Yes,No,No,No,No,No,No,NA,NA,BA,NA,,,Gujarat,No,No,No
Mukesh R. Shah,Male,Hindu,,16-May-1958,NA,NA,7-Mar-2004,15-May-2023,No,No,Gujarat High Court,No,,,,,,,Yes,Patna High Court,,,Yes,2-Nov-2018,Bar,No,Yes,No,No,Yes,No,No,No,No,No,No,NA,NA,BSc,Gujarat University ,1982,1982,Gujarat,No,No,No
R.Subhash Reddy,Male,Hindu,,5-Jan-1957,Telangana,Kamaram,2-Dec-2002,4-Jan-2022,No,No,Andhra Pradesh High Court,No,,,,,,,Yes,Gujarat High Court,,,Yes,2-Nov-2018,Bar,No,Yes,No,No,No,No,No,No,No,No,Yes,"Zilla Parishad High School, Sankarampet, Medak District","Andhra Vidyalaya College (AV College), Hyderabad",NA,"University College of Law, Osmania University, Hyderabad.",,1980,Andhra Pradesh,No,No,No
Akil Abdul Hamid Kureshi,Male,Muslim,,17-Mar-1960,NA,NA,7-Mar-2004,16-Mar-2022,No,No,Gujarat High Court,Yes,Bombay High Court,14-Nov-2018,,,,,Yes,Tripura High Court,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,BSc,NA,1983,1983,Gujarat,No,No,No
Rajesh H Shukla,Male,Hindu,,27-Dec-1956,NA,NA,21-Nov-2007,26-Dec-2018,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,Yes,No,Yes,No,No,No,No,NA,NA,BCom,NA,,1981,Gujarat,No,No,No
Mohinder Pal,Male,Hindu,,30-Dec-1956,Punjab,Hoshiarpur,8-Oct-2007,29-Dec-2018,No,No,Punjab and Haryana High Court,Yes,Gujarat High Court,30-Dec-2011,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,Govt. College Hoshiarpur,BA,"Punjab University,Chandigarh",1981,1982,Punjab and Haryana,No,No,No
S. G. Shah,Male,Hindu,,2-Feb-1957,Gujarat,Mehsana,12-Nov-2012,1-Feb-2019,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,NA,NA,BSc,NA,1981,1981,Gujarat,No,No,Yes
C. L. Soni,Male,Hindu,,17-Mar-1957,Gujarat,Kalyanpura,21-Nov-2011,16-Mar-2019,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,Gujarat University,BCom,Gujarat University ,1983,1984,Gujarat,No,No,No
K. M. Thaker,Male,Hindu,,17-Sep-1957,NA,NA,21-Nov-2007,16-Sep-2019,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,Gujarat University,BCom,Gujarat University ,1981,1982,Gujarat,No,Yes,No
Anant Surendraray Dave,Male,Hindu,,5-Dec-1957,Gujarat,Panchmahal,8-Oct-2004,4-Dec-2019,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,LL.B.,NA,,1984,Gujarat,No,No,No
Shailesh Ramanlal Brahmbhatt,Male,Hindu,,21-Feb-1958,Gujarat,Amreli,8-Oct-2004,20-Feb-2020,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,St. Xaviers' High School,"Government Art and Commerce College, Gandhingar",NA,Sir L.A. Shah Law College & M.N. Law College.,,1984,Gujarat,No,No,No
Harsha Devani,Female,Hindu,,27-Mar-1958,Gujarat,Kunkavav,8-Oct-2004,26-Mar-2020,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,"Prakash Higher Secondary School, Ahmedabad; Convent Little Flower School, Dibrugarh (Assam);  Loreto Convent, Ranchi (Bihar)","M.G. Science Institute, Ahmedabad",BSc,"Sir L.A. Shah Law College, Ahmedabad",,1992,Gujarat,No,Yes,No
Vireshkumar B. Mayani,Male,Hindu,,1-Jun-1958,Gujarat,Dhari,22-Oct-2018,31-May-2020,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,Yes,NA,"H. A. College of Commerce, Ahmedabad",BCom,"Sir L.A. Shah Law College, Ahmedabad",,1984,Gujarat,No,No,No
V. P. Patel,Male,Hindu,,1-Jun-1958,Gujarat,Asjol,16-Jan-2019,31-May-2020,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,Yes,No,No,No,No,No,No,NA,NA,BSc,NA,,1987,Gujarat,No,Yes,Yes
G.R.Udhwani,Male,Hindu,,25-Nov-1961,Gujarat,Ahmedabad,12-Nov-2012,5-Dec-2020,Yes,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,NA,"Navgujarat Mahavidhyalaya, Ahmedabad",BCom,"Sir L.A. Shah Law College, Ahmedabad",1986,1987,Gujarat,No,No,No
