Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Hemant Laxman Gokhale,Male,Hindu,,10-Mar-1949,Gujarat,NA,20-Jan-1994,20-Mar-2011,No,No,Bombay High Court,Yes,Gujarat High Court,4-Feb-1994,Bombay High Court,24-Feb-1999,,,Yes,Allahabad High Court,Madras High Court,,Yes,30-Apr-2010,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,University of Bombay,BA,"Government Law College, Bombay",,1973,Maharashtra,No,Yes,Yes
Narendra Narain Mathur,Male,Hindu,,20-Feb-1945,NA,NA,31-Jan-1994,20-Feb-2007,No,No,Rajasthan High Court,Yes,Gujarat High Court,15-Feb-1994,Rajasthan High Court,24-Feb-1999,,,No,,,,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,1970,Rajasthan,No,No,No
Suhrud Deoprasad Dave,Male,Hindu,,1-Oct-1937,NA,NA,21-Jul-1990,1-Oct-1999,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1962,Gujarat,No,No,No
Rajesh Balia,Male,Hindu,,3-Mar-1946,NA,NA,21-Oct-1991,3-Mar-2008,No,No,Rajasthan High Court,Yes,Gujarat High Court,24-Jun-1994,Rajasthan High Court,14-Dec-1999,,,Yes,Patna High Court,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,BCom,NA,,1967,Rajasthan,No,No,No
Chunilal Karsandas Thakker,Male,Hindu,,10-Nov-1943,NA,NA,21-Jul-1990,10-Nov-2008,No,No,Gujarat High Court,No,,,,,,,Yes,Himachal Pradesh High Court,Bombay High Court,,Yes,7-Jun-2004,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,BA,"M.P. Shah Law College, Jamnagar",1967,1968,Gujarat,No,No,Yes
Mahendra Sankalchand Parikh,Male,Hindu,,10-Jan-1939,NA,NA,22-Nov-1990,29-Sep-2000,No,Yes,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1962,Gujarat,No,No,No
Harivadan Ratanlal Shelat,Male,Hindu,,2-Mar-1939,NA,NA,18-Sep-1995,2-Mar-2001,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1962,Gujarat,No,No,No
D. M. Dharmadhikari,Male,Hindu,,14-Aug-1940,NA,NA,24-Mar-1989,13-Aug-2005,No,No,Madhya Pradesh High Court,No,,,,,,,Yes,Gujarat High Court,,,Yes,5-Mar-2002,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,,Gujarat,No,No,Yes
Shiv Kishor Keshote,Male,Hindu,,1-Jan-1944,NA,NA,31-Jan-1994,31-Dec-2006,No,No,Rajasthan High Court,Yes,Gujarat High Court,13-Dec-1994,Rajasthan High Court,27-May-2001,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,1968,Rajasthan,No,No,No
Dinesh Chandra Srivastava,Male,Hindu,,26-Aug-1939,NA,NA,15-Mar-1995,26-Aug-2001,No,No,Allahabad High Court,Yes,Gujarat High Court,26-Dec-1997,,,,,No,,,,No,,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,No,No,No
