Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
T.J. Chouta,Male,,,7-Aug-1937,,,25-Feb-1994,,No,No,Karnataka High Court,Yes,Madras High Court,18-Mar-1994,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,,"Government Law College, Bangalore",,1964,Karnataka,,,
B.S. Raikote,Male,,,7-Oct-1937,,,25-Feb-1994,,,,Karnataka High Court,Yes,Andhra Pradesh High Court,21-Mar-1994,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,,Osmania University,,1965,Karnataka,No,No,Yes
S.R. Venkatesha Murthy,Male,,,27-Sep-1938,,,1-Jan-1997,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,No,No,Yes,No,No,,,,,No,,"St. Joseph's College, 
Bangalore",,"Sharada Vilas Law Colege, Mysore",,,,,No,Yes
B.S. Srinivasa Rao,Male,,,10-Feb-1939,,,1-Jan-1997,,No,No,Karnataka High Court,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"Government Law College, Bangalore",,1958,Karnataka,,,
Harinath Tilhari,Male,,,11-May-1939,,,11-May-1994,,,,Allahabad High Court,,,,,,,,,,,,,,Bar,,Yes,,,Yes,No,,,,,,,,,,,1961,Uttar Pradesh,,,
T.N. Vallinayagam,Male,,,17-May-1939,,,20-Feb-1997,,,,Madras High Court,,,,,,,,,,,,,,Bar,,Yes,Yes,,Yes,No,,,,,,,,,Madras Law College,,1961,Tamil Nadu,,,
K.R. Prasad Rao,Male,,,31-Oct-1939,,,2-Jun-1998,,No,No,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,,,,,No,,,,,,,"Andhra Christian College, 
Guntur",,"Andhra University Law College, Waltair",,1962,Andhra Pradesh,,,
B.N. Mallikarjuna,Male,,,13-Dec-1939,,,18-Dec-1995,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,1962,,,,
G. Patri Basavana Goud,Male,,,29-Apr-1940,,,1-Jan-1997,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,,,Yes,,No,,,,,,,,,"Government Law College, Bangalore",,1962,,,,
V.P Mohan Kumar,Male,,,7-Jun-1940,,,17-Jan-1994,,No,No,Kerala High Court,Yes,Kerala High Court,1-Jun-2001,,,,,Yes,Kerala High Court,,,,,Bar,,Yes,,,,No,,,,,,,,,,,1962,Kerala,,,
Mohamad Anwar,Male,Muslim,,8-Jul-1940,,,18-Dec-1995,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,1968,,,,
B.K. Sangalad,Male,,,14-Sep-1940,,,18-Dec-1995,13-Sep-2002,No,No,Karnataka High Court,,,,,,,,,,,,,,,Yes,Yes,,,Yes,No,,,,,,,,,,,1974,Karnataka,,,
H.N. Narayan,Male,,,18-Mar-1941,,,30-Nov-1994,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,1969,Karnataka,,,
M.P. Chinnappa,Male,,,1-Jun-1941,,,18-Dec-1995,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,1968,Karnataka,,,
G.C. Bharuka,Male,,,15-Jun-1941,,,13-Jun-1994,,,,Patna High Court,,,,,,,,,,,,,,Bar,,Yes,Yes,,,No,,,,,,,,,Ranchi University,,1968,Bihar,No,,Yes
M.F. Saldanha,Male,,,13-Feb-1942,,,1-Jul-1994,,,,Bombay High Court,,,,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,,,,1964,Maharashtra,,,
H. Rangavittalachar,Male,,,12-Mar-1942,,,11-Jun-1997,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,Yes,No,,,,,,,Vijaya College,,"Government Law College, Bangalore",,1966,Karnataka,,,
R.J. Babu,Male,,,5-Apr-1942,,,25-Feb-1994,,,,Karnataka High Court,Yes,Madras High Court,18-Mar-1994,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,,,,1968,Karnataka,,,
Chandrashekharaiah,Male,,,20-May-1942,,,18-Dec-1995,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,Yes,No,,,,,Yes,,,,,,1969,Karnataka,,,
A.V. Srinivasa Reddy,Male,,,24-May-1942,,,16-Jun-1999,,No,No,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,No,,,,,Yes,,St. Joseph's College,,"Government Law College, Bangalore",,1968,Karnataka,,,
S.B. Majage,Male,,,20-Mar-1943,,,18-Apr-2002,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,Yes,,Yes,,No,,,,,,,,,Osmania University,,1966,,,,
A.M. Farooq,Male,,,17-Aug-1943,,,18-Dec-1995,,,,Karnataka High Court,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,Yes,,,,"Renukacharya Law College, Bangalore",,1968,,,,
P. Vishwanatha Shetty,Male,,,2-May-1944,,,18-Dec-1995,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,Yes,,,No,,,,,,,,,,,1966,Karnataka,,,
B. Padmaraj,Male,,,6-Oct-1944,,,30-Nov-1994,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,,,No,,,,,,,,,,,1969,Karnataka,,,
R. Gururajan,Male,,,8-May-1945,,,16-Jun-1999,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,,,,1968,Karnataka,,,
N.S. Veerabhadraiah,Male,,,29-May-1945,,,2-Jun-1998,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,,,No,,,,,,,,,,,1969,Karnataka,,,
A.C. Kabbin,Male,,,20-Dec-1945,,,8-Sep-2004,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,,,,,,,,,,,,,,1968,Karnataka,,,
K. Rammanna,Male,,,4-Jul-1948,,,18-Apr-2002,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,,,No,,,,,,,,,,,1977,Karnataka,,,
Arali Nagaraj Amarappa,Male,,,1-Nov-1951,,,4-Jul-2007,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,Yes,,,,No,,,,,,,,,,,1983,Karnataka,,,
V.G. Sabhahit,Male,,,26-Nov-1955,,,21-Feb-2000,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,,,No,,,,,,,,,,,1979,Karnataka,,,
K. Govindarajulu,Male,,,2-Apr-1953,,,12-Mar-2010,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,Yes,,,,No,,,,,,,,,,,1980,Karnataka,,,
Ajit J. Gunjal,Male,,,15-Oct-1950,,,12-May-2003,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,,,,1976,Karnataka,,,
Vasudevan Jagannathan,Male,,,9-Sep-1950,,,7-Mar-2005,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,Yes,,,,No,,,,,,,,,,,1982,Karnataka,,,
Adi Subhash Bashetti,Male,,,10-Aug-1951,,,6-Jan-2006,,,,Karnataka High Court,,,,,,,,,,,,,,,,Yes,,,,No,,,,,,,,,,,1978,Karnataka,,,
D.V. Shylendra Kumar,Male,,,5-Sep-1951,,,11-Dec-2000,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,,,,1976,,,,
K. Sreedhar Rao,Male,,,21-Oct-1953,,,21-Feb-2000,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,,,No,,,,,,,,,,,1976,Karnataka,,,
V. Suri Appa Rao,Male,,,1-Jul-1952,,,20-Apr-2011,,,,Andhra Pradesh High Court,Yes,Andhra Pradesh High Court,9-Nov-2013,,,,,,,,,,,Service,Yes,No,No,,No,No,,,,,,,,,,,,,,,
H.N. Nagamohan Das,Male,,,12-Feb-1952,,,21-Oct-2004,,,,,,,,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,,,,1977,,,,
H.S. Kempanna,Male,,,4-Apr-1952,,,12-Mar-2010,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,Yes,,,,No,,,,,,,,,,,1976,Karnataka,,,
K.N. Keshavnarayana,Male,,,10-Apr-1952,,,2-Jun-2008,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,Yes,,,,No,,,,,,,,,,,1977,Karnataka,,,
